jawOpen,mouthClose,mouthFunnel,mouthPucker,mouthRight,mouthLeft,mouthSmileRight,mouthSmileLeft,mouthFrownRight,mouthFrownLeft,mouthDimpleRight,mouthDimpleLeft,mouthStretchRight,mouthStretchLeft,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthPressRight,mouthPressLeft,mouthLowerDownRight,mouthLowerDownLeft,mouthUpperUpRight
0.2156864,0.12076165,0.27678937,0.16935255,0.0034592845,0.007532195,0.085169725,0.061840605,0.010565431,0.014966377,0.03293821,0.0325054,0.25733915,0.25801274,0.06527672,0.14692555,0.049091935,0.17686225,0.02060704,0.016112737,0.29922518,0.30277887,0.041796118
0.20266566,0.12182183,0.2771724,0.16804782,0.0034340029,0.007614821,0.067189135,0.048426293,0.014883538,0.022933792,0.03594373,0.0353934,0.2452838,0.24730091,0.07605836,0.15645331,0.05285985,0.16183306,0.021604968,0.016729089,0.2788068,0.28535867,0.036923986
0.14334524,0.081813484,0.23807582,0.1466492,0.005188895,0.005828677,0.115742065,0.09299239,0.0033023353,0.004117759,0.06317045,0.060618874,0.18577641,0.1969912,0.07080972,0.13990076,0.060677417,0.10464506,0.024317529,0.018762093,0.2218782,0.22326925,0.043299697
0.14318435,0.08125961,0.23709746,0.14254819,0.0046293754,0.006112256,0.117032275,0.094371624,0.0027247486,0.002774357,0.06373669,0.061006244,0.18543452,0.19695596,0.070660025,0.14046952,0.06005409,0.10499878,0.024282904,0.018670635,0.22276792,0.22323653,0.043174993
0.14212102,0.08159873,0.23666771,0.13899358,0.0041683256,0.0064675603,0.11980475,0.09787791,0.0026480157,0.0020438896,0.0660522,0.06329457,0.18585439,0.19713959,0.07256313,0.14357801,0.05959777,0.10308314,0.024465207,0.018821891,0.22189978,0.22201851,0.043066878
0.13741636,0.07942766,0.23551309,0.14267518,0.0051646866,0.005983811,0.11929996,0.09692535,0.0017102471,0.0016791015,0.063241355,0.06043934,0.18495624,0.19596644,0.07008156,0.14026867,0.05949215,0.10378078,0.023848146,0.018397957,0.220605,0.22133963,0.043259565
0.13204296,0.07548303,0.23174778,0.1433036,0.00641698,0.005415734,0.12078356,0.09736913,0.0024725562,0.0038535593,0.06472197,0.06168659,0.18164125,0.19193237,0.06926668,0.13534623,0.06108641,0.10288591,0.024369763,0.018794104,0.2143185,0.21547851,0.043228682
0.12762475,0.07336997,0.23290378,0.1508326,0.006895863,0.005012945,0.119183905,0.09340548,0.0024449215,0.0043275505,0.061792634,0.058708634,0.17957915,0.18894559,0.066696875,0.12931469,0.062427536,0.105584085,0.024120407,0.018604526,0.2116269,0.2125183,0.043712236
0.28342143,0.12602572,0.27388307,0.16849165,0.021028545,0.0010675465,0.1259647,0.08339452,0.011223711,0.017083338,0.024661478,0.019947227,0.32848454,0.3059729,0.04113418,0.11231765,0.046129175,0.24773583,0.0149276955,0.014324903,0.3858639,0.39381874,0.05027661
0.29744107,0.13038021,0.27175096,0.13910794,0.012813866,0.004831916,0.129592,0.09585771,0.0075228773,0.009560499,0.029254818,0.026421107,0.30847654,0.29834804,0.04482017,0.12276684,0.044342984,0.23758206,0.01801624,0.015510162,0.39195493,0.3990075,0.05074925
